Reservoir,Reservoir_type,Year,Cyanobacteria_Max_cells/ml,logCyanoMax_cells/ml,Chlorophyll_a_ug/l,Secchi_cm,TP_ppb,P_dissolved_ppb,TKN_ppm,NH3_ppm,NOx_ppm,TOC_ppm,Alkalinity_ppm,NH36to8inflow_ppm,TKN6to8inflow_ppm,NOx6to8inflow_ppm,TP6to8inflow_ppb,TOC6to8inflow_ppm,Summer_precip_inches,Summer_precip_Z-score,mayST_Celsius,junST_Celsius,julST_Celsius,augST_Celsius,mayDO_mg/l,junDO_mg/l,mayDT_Celsius,junDT_Celsius,julDT_Celsius,augDT_Celsius
BVR,2,1987,na,na,29.77,na,16.3,12.5,na,0.15,na,3.17,na,0.233,0.6,3.3,353.7,9.3,12.71,0.385,na,na,na,na,na,na,na,na,na,na
BVR,2,1988,na,na,18.4,54,9.7,5,na,0.15,na,1.36,214.7,0.067,0.767,1.767,110,3,6.84,-1.265,na,na,na,na,na,na,na,na,na,na
BVR,2,1989,na,na,20.8,50,10.4,5,na,0.094,na,3.44,209.7,0.05,0.45,3.15,89,4,10.36,-0.276,14.58,23.88,26.27,25.02,8.37,4.63,9.07,15,15.92,15.67
BVR,2,1990,na,na,5,58,na,na,na,na,na,na,na,na,na,na,na,na,18.12,1.905,14.23,19.15,27.29,26.64,8.92,5.56,11.21,13.29,16.86,18.18
BVR,2,1991,na,na,na,na,na,na,na,0.05,na,na,235.5,0,na,na,na,3,8.77,-0.723,18.93,26.77,26.11,25.36,6.99,4.26,10.37,15.28,13.45,14.1
BVR,2,1992,13476.1,4.13,12.3,61.3,na,na,na,0.075,na,3.5,114.3,0,0.65,3,67.5,3.5,18.33,1.964,15.66,18.06,24.2,23.94,10,6.54,9.64,8.01,13.2,17.68
BVR,2,1993,30787,4.488,9.22,68,na,na,na,na,na,na,165.6,na,na,na,na,na,10.83,-0.144,12.64,na,na,26.04,9.91,na,9.54,na,na,14.03
BVR,2,1994,na,na,12.74,47.3,na,na,na,na,na,12.67,na,na,na,na,na,15.5,8.65,-0.756,15.21,24.45,25.61,na,8.73,6.06,10.03,11.35,12.66,na
BVR,2,1995,34748.2,4.541,8.39,53,na,na,na,na,na,8.7,122,na,na,na,na,16.4,12.34,0.281,15.86,23.69,26.13,28.88,9.75,4.7,11.47,15.4,16.59,18.18
BVR,2,1996,na,na,na,55,na,na,na,na,na,5.22,134.3,na,na,2.54,na,6.1,12.84,0.421,14.49,23.46,26.55,26.73,9.54,5.31,11.67,15.32,16.89,17.06
BVR,2,1997,na,na,12.34,70.7,na,na,na,na,1.59,5.15,na,na,na,2.12,na,8.9,10.19,-0.324,14.51,20.3,26.86,27.68,7.6,5.77,10.35,15.23,16.24,17.3
BVR,2,1998,2326.8,3.367,17.84,65.5,na,na,na,na,na,na,na,na,na,na,na,na,17.14,1.63,21.27,22.81,27.1,27.46,6.79,3.32,12.71,15.41,19.41,20.19
BVR,2,1999,4794.2,3.681,na,77,12.5,10,0.5,na,1.2,3.93,130,na,0.3,2.1,90,2.8,9.94,-0.394,18.13,24.18,27.61,26.76,8.78,7.45,9.67,11.24,11.76,12.81
